,stage_name,activity_name,result_name
704772,Черный список,Вывести из черного списка,
704688,Не прошел СБ,Вывести из черного списка,
215323,Не прошел СБ,Вывести из черного списка,В белый список
215576,Оформление,Назначить время на оформление,Перенос звонка
248999,Оформление,Назначить время на оформление,Черный список
285703,Оформление,Назначить время на оформление,Перенос кандидата
220133,Оформление,Назначить время на оформление,Резерв
455434,Оформление,Назначить время на оформление,Встреча назначена
640674,Оформление,Назначить время на оформление,Не подходит
214970,Оформление,Назначить время на оформление,Время назначено
214832,Оформление,Назначить время на оформление,Отказ кандидата
704916,Оформление,Назначить время на оформление,
214833,Оформление,Назначить время на оформление,Недозвон
214839,Интервью с руководителем,Назначить интервью с руководителем,Встреча назначена
222036,Интервью с руководителем,Назначить интервью с руководителем,Не подходит
218741,Интервью с руководителем,Назначить интервью с руководителем,Подходит
704712,Интервью с руководителем,Назначить интервью с руководителем,
214870,Интервью с руководителем,Назначить интервью с руководителем,Резерв
217539,Интервью с руководителем,Назначить интервью с руководителем,Перенос звонка
329002,Интервью с руководителем,Назначить интервью с руководителем,Перенос кандидата
219403,Интервью с руководителем,Назначить интервью с руководителем,Недозвон
214806,Интервью с руководителем,Назначить интервью с руководителем,Отказ кандидата
214859,СБ,Подготовить анкету кандидата,Подготовлена
709794,СБ,Подготовить анкету кандидата,
221730,Интервью с руководителем,Предоставить обратную связь по кандидату,Встреча назначена
711758,Оформление,Предоставить обратную связь по кандидату,
218189,Оформление,Предоставить обратную связь по кандидату,Время назначено
274844,Оформление,Предоставить обратную связь по кандидату,Перенос звонка
286062,Интервью с руководителем,Предоставить обратную связь по кандидату,Подходит
317723,Оформление,Предоставить обратную связь по кандидату,Нет обратной связи от руководителя
567107,Оформление,Предоставить обратную связь по кандидату,Недозвон
587253,Оформление,Предоставить обратную связь по кандидату,Черный список
688127,Интервью с руководителем,Предоставить обратную связь по кандидату,Недозвон
248477,Интервью с руководителем,Предоставить обратную связь по кандидату,Нет обратной связи от руководителя
453871,Интервью с руководителем,Предоставить обратную связь по кандидату,Не подходит
712455,Интервью с руководителем,Предоставить обратную связь по кандидату,
214959,Оформление,Предоставить обратную связь по кандидату,ОС предоставлена руководителем
214960,Оформление,Предоставить обратную связь по кандидату,ОС не предоставлена руководителем
214813,Интервью с руководителем,Предоставить обратную связь по кандидату,Отказ руководителя
215255,Интервью с руководителем,Предоставить обратную связь по кандидату,ОС предоставлена руководителем
214990,Оформление,Предоставить обратную связь по кандидату,Отказ руководителя
