,stage_name,activity_name,result_name,count
0,Выход на работу,,Отказ кандидата,2
1,Выход на работу,,Недозвон,1
2,Выход на работу,,ОС не предоставлена руководителем,16
3,Интервью с руководителем,Назначить интервью с руководителем,Недозвон,673
4,Интервью с руководителем,Назначить интервью с руководителем,Перенос звонка,1206
5,Интервью с руководителем,Узнать результаты интервью с руководителем,Перенос кандидата,2794
6,Интервью с руководителем,Узнать результаты интервью с руководителем,Встреча назначена,58
7,Интервью с руководителем,Узнать результаты интервью с руководителем,Не подходит,1374
8,Интервью с руководителем,Назначить интервью с руководителем,Не подходит,63
9,Интервью с руководителем,Назначить интервью с руководителем,Резерв,579
10,Интервью с руководителем,Узнать результаты интервью с руководителем,Подходит,17789
11,Интервью с руководителем,Назначить интервью с руководителем,,671
12,Интервью с руководителем,Назначить интервью с руководителем,Встреча назначена,44336
13,Интервью с руководителем,Узнать результаты интервью с руководителем,Резерв,992
14,Интервью с руководителем,Узнать результаты интервью с руководителем,,10909
15,Интервью с руководителем,Узнать результаты интервью с руководителем,Отказ кандидата,5825
16,Интервью с руководителем,Узнать результаты интервью с руководителем,Черный список,4
17,Интервью с руководителем,Узнать результаты интервью с руководителем,Недозвон,16979
18,Интервью с руководителем,Узнать результаты интервью с руководителем,Отказ руководителя,1590
19,Интервью с руководителем,Назначить интервью с руководителем,Отказ кандидата,1211
20,Интервью с руководителем,Узнать результаты интервью с руководителем,ОС не предоставлена руководителем,6522
21,Интервью с руководителем,Узнать результаты интервью с руководителем,Перенос звонка,6592
22,Мы отказали,,В белый список,3
23,Мы отказали,,Не подходит,1
24,Мы отказали,,Нет обратной связи от руководителя,2
25,Мы отказали,,Черный список,1
26,Не прошел СБ,Вывести из черного списка,,5288
27,Не прошел СБ,Вывести из черного списка,В белый список,2378
28,Обработка,Проверка формы обращения,Не резерв,44310
29,Обработка,Провести первичную обработку,Недозвон,542
30,Обработка,Провести первичную обработку,Подходит,44214
31,Обработка,Провести первичную обработку,Перенос звонка,358
32,Обработка,Провести первичную обработку,Не подходит,6561
33,Обработка,Провести первичную обработку,Резерв,1785
34,Обработка,Провести первичную обработку,,246
35,Обработка,Провести первичную обработку,Отказ кандидата,1379
36,Отказался,,Нет обратной связи от руководителя,1
37,Отказался,,Подходит,2
38,Отказался,,Время назначено,2
39,Отказался,,Отказ кандидата,31
40,Отказался,,Недозвон,7
41,Оформление,Предоставить обратную связь по кандидату,Перенос звонка,1
42,Оформление,Предоставить обратную связь по кандидату,Нет обратной связи от руководителя,3
43,Оформление,Узнать результаты приема,Время назначено,2
44,Оформление,Узнать результаты приема,ОС предоставлена руководителем,10
45,Оформление,Назначить время на оформление,Встреча назначена,1
46,Оформление,Узнать результаты приема,Черный список,3
47,Оформление,Назначить время на оформление,Черный список,4
48,Оформление,Предоставить обратную связь по кандидату,Черный список,1
49,Оформление,Назначить время на оформление,Не подходит,1
50,Оформление,Узнать результаты приема,,3313
51,Оформление,Назначить время на оформление,,1613
52,Оформление,Назначить время на оформление,Перенос кандидата,1
53,Оформление,Предоставить обратную связь по кандидату,Недозвон,1
54,Оформление,Предоставить обратную связь по кандидату,,1029
55,Оформление,Назначить время на оформление,Резерв,264
56,Оформление,Назначить время на оформление,Отказ кандидата,3291
57,Оформление,Назначить время на оформление,Недозвон,11679
58,Оформление,Узнать результаты приема,Отказ кандидата,1072
59,Оформление,Узнать результаты приема,Недозвон,4334
60,Оформление,Узнать результаты приема,Принят,7043
61,Оформление,Предоставить обратную связь по кандидату,ОС предоставлена руководителем,2203
62,Оформление,Предоставить обратную связь по кандидату,ОС не предоставлена руководителем,23972
63,Оформление,Назначить время на оформление,Время назначено,11957
64,Оформление,Узнать результаты приема,Перенос руководителя,22
65,Оформление,Узнать результаты приема,Резерв,151
66,Оформление,Предоставить обратную связь по кандидату,Отказ руководителя,1196
67,Оформление,Узнать результаты приема,Нет обратной связи от руководителя,3209
68,Оформление,Назначить время на оформление,Перенос звонка,2570
69,Оформление,Узнать результаты приема,Перенос звонка,1216
70,Оформление,Узнать результаты приема,Перенос кандидата,392
71,Оформление,Узнать результаты приема,Не принят,71
72,Оформление,Предоставить обратную связь по кандидату,Время назначено,294
73,Резерв,,Недозвон,2
74,СБ,Проверка формы обращения,Подготовлена,1
75,СБ,Узнать результаты СБ,,241
76,СБ,Подготовить анкету кандидата,,29
77,СБ,Узнать результаты СБ,Уточнение данных,22
78,СБ,Проверка формы обращения,Не резерв,15487
79,СБ,Узнать результаты СБ,Подходит,15490
80,СБ,Подготовить анкету кандидата,Подготовлена,17688
81,СБ,Узнать результаты СБ,Нет обратной связи,339
82,СБ,Узнать результаты СБ,Подготовлена,74
83,СБ,Узнать результаты СБ,Нет обратной связи от руководителя,1
84,СБ,Узнать результаты СБ,Недозвон,2
85,СБ,Узнать результаты СБ,Не подходит,2163
86,Смена вакансии,,,9731
87,Смена вакансии,,ОС не предоставлена руководителем,4
88,Смена вакансии,,Недозвон,1
89,Создание кандидата,,,149735
90,Черный список,Вывести из черного списка,,54
